Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
78,44,tr|R5UE03|R5UE03_9BACE,371.37,57,44,11,Carbamidomethylation; Oxidation (M),100274,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:702 GN=BN759_01582 PE=4 SV=1
2757,8181,tr|R6YW29|R6YW29_9BACE,185.02,40,8,2,Carbamidomethylation,26092,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_00567 PE=4 SV=1
1933,14400,tr|R6YHW8|R6YHW8_9BACE,185.02,29,6,1,Carbamidomethylation; Oxidation (M),26748,Transporter MotA/TolQ/ExbB proton channel family protein OS=Bacteroides sp. CAG:714 GN=BN762_01169 PE=3 SV=1
3647,6074,tr|R6AIZ3|R6AIZ3_9BACE,184.88,12,9,7,,115804,TonB-dependent Receptor Plug domain-containing protein OS=Bacteroides stercoris CAG:120 GN=BN477_01108 PE=3 SV=1
1848,3582,tr|A0A150YBC5|A0A150YBC5_9FIRM,184.82,21,14,4,Carbamidomethylation,94835,Aldehyde-alcohol dehydrogenase OS=Ruminococcus sp. DSM 100440 GN=AXF09_03720 PE=3 SV=1
2744,5755,tr|R5BZI3|R5BZI3_9BACE,184.80,14,9,7,,81422,TonB-linked outer membrane protein SusC/RagA family OS=Bacteroides sp. CAG:598 GN=BN727_01800 PE=4 SV=1
2682,12850,tr|R5GUS9|R5GUS9_9BACT,184.45,42,5,1,Carbamidomethylation,15452,50S ribosomal protein L11 OS=Prevotella sp. CAG:755 GN=rplK PE=3 SV=1
4236,8501,tr|R7D901|R7D901_9FIRM,184.32,27,8,2,,49490,Aldehyde dehydrogenase (NAD) family protein OS=Ruminococcus obeum CAG:39 GN=BN639_01552 PE=4 SV=1
3121,9320,tr|R6MZX7|R6MZX7_9BACE,184.29,11,6,1,Carbamidomethylation,73792,Putative glycogen debranching enzyme archaeal type OS=Bacteroides sp. CAG:443 GN=BN659_00610 PE=4 SV=1
1544,10673,tr|V8CCX2|V8CCX2_9FIRM,184.29,22,6,1,Carbamidomethylation; Oxidation (M),41061,Uncharacterized protein OS=Ruminococcus lactaris CC59_002D GN=HMPREF1202_00468 PE=3 SV=1
1544,10674,tr|B5CLH3|B5CLH3_9FIRM,184.29,22,6,1,Carbamidomethylation; Oxidation (M),41061,ABC transporter  ATP-binding protein OS=Ruminococcus lactaris ATCC 29176 GN=RUMLAC_00294 PE=3 SV=1
2717,8802,tr|B5D1E8|B5D1E8_BACPM,184.22,13,7,1,Carbamidomethylation,74435,Putative glycogen debranching enzyme  archaeal type OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=BACPLE_02792 PE=4 SV=1
3489,8575,tr|R6EAK7|R6EAK7_9BACT,184.18,27,7,6,,42019,Major outer membrane protein OmpA family protein OS=Prevotella sp. CAG:1320 GN=BN487_00914 PE=4 SV=1
2383,7964,tr|R6MJK0|R6MJK0_9FIRM,183.94,20,7,3,,51035,ATP synthase subunit beta OS=Megamonas funiformis CAG:377 GN=atpD PE=3 SV=1
2383,7965,tr|H3KAV5|H3KAV5_9FIRM,183.94,20,7,3,,51021,ATP synthase subunit beta OS=Megamonas funiformis YIT 11815 GN=atpD PE=3 SV=1
3226,5469,tr|R5TYZ2|R5TYZ2_9BACE,183.84,19,9,2,,67740,GTP-binding protein TypA OS=Bacteroides sp. CAG:702 GN=BN759_00413 PE=4 SV=1
2806,9600,tr|R5C2Q1|R5C2Q1_9BACE,183.73,27,7,1,,39709,Uncharacterized protein OS=Bacteroides sp. CAG:598 GN=BN727_00264 PE=3 SV=1
4273,7142,tr|B5CU53|B5CU53_BACPM,183.70,14,8,2,Carbamidomethylation,86846,Glycosyl hydrolase family 20  catalytic domain protein OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=BACPLE_00243 PE=4 SV=1
2213,3431,tr|R5SP00|R5SP00_9BACE,183.69,14,12,2,,119109,Uncharacterized protein OS=Bacteroides sp. CAG:661 GN=BN750_00380 PE=4 SV=1
2213,3432,tr|R5CBG6|R5CBG6_9BACE,183.69,14,12,2,,118906,Uncharacterized protein OS=Bacteroides sp. CAG:598 GN=BN727_01808 PE=4 SV=1
2805,9481,tr|R6LFV1|R6LFV1_9BACE,183.53,26,7,1,Carbamidomethylation,34506,Putative glucokinase OS=Bacteroides clarus CAG:160 GN=BN507_02397 PE=4 SV=1
2805,9482,tr|F3PJR0|F3PJR0_9BACE,183.53,26,7,1,Carbamidomethylation,34506,Putative glucokinase OS=Bacteroides clarus YIT 12056 GN=HMPREF9445_02263 PE=4 SV=1
3210,11566,tr|R7JLB0|R7JLB0_9PORP,183.25,34,6,2,Oxidation (M),26169,MotA/TolQ/ExbB proton channel family protein OS=Parabacteroides sp. CAG:409 GN=BN646_02425 PE=3 SV=1
2958,4632,tr|R6YCK5|R6YCK5_9BACE,183.22,40,12,4,Carbamidomethylation; Oxidation (M),37897,UDP-glucose 4-epimerase OS=Bacteroides sp. CAG:714 GN=BN762_00131 PE=4 SV=1
3200,5023,tr|R6Y9L7|R6Y9L7_9BACE,183.11,35,10,2,Carbamidomethylation,42702,N-acetylglucosamine-6-phosphate deacetylase OS=Bacteroides sp. CAG:714 GN=BN762_00411 PE=3 SV=1
4071,8330,tr|R5CAL1|R5CAL1_9BACT,183.09,30,8,1,Carbamidomethylation,38335,Branched-chain-amino-acid transaminase OS=Prevotella sp. CAG:1058 GN=BN458_01544 PE=3 SV=1
3767,5874,tr|R6YIZ6|R6YIZ6_9BACE,183.08,26,9,3,Carbamidomethylation,49252,Aspartokinase OS=Bacteroides sp. CAG:714 GN=BN762_01539 PE=3 SV=1
1847,14676,tr|L1M9E9|L1M9E9_9BACT,182.94,45,5,1,Carbamidomethylation; Oxidation (M),15521,50S ribosomal protein L11 OS=Prevotella sp. oral taxon 473 str. F0040 GN=rplK PE=3 SV=1
2855,7596,tr|D4LMW5|D4LMW5_9FIRM,182.86,38,8,1,Carbamidomethylation,26945,Triosephosphate isomerase OS=Ruminococcus sp. SR1/5 GN=tpiA PE=3 SV=1
3594,6771,tr|R7A549|R7A549_9BACE,182.85,30,9,1,Carbamidomethylation,35933,Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Bacteroides sp. CAG:875 GN=purC PE=3 SV=1
3119,7677,tr|R6ZP88|R6ZP88_9BACE,182.83,19,8,2,,58694,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_00252 PE=4 SV=1
2060,14698,tr|R7MLU8|R7MLU8_9FIRM,182.82,18,7,1,Carbamidomethylation,42630,Carbohydrate ABC transporter ATP-binding protein CUT1 family (TC 3.A.1.1.-) OS=Ruminococcus sp. CAG:624 GN=BN739_00692 PE=3 SV=1
3253,3139,tr|R5N3U7|R5N3U7_9FIRM,182.68,24,12,3,Carbamidomethylation; Oxidation (M),67972,Carbon-monoxide dehydrogenase catalytic subunit OS=Ruminococcus sp. CAG:17 GN=BN514_00080 PE=4 SV=1
2610,5810,tr|R6CX37|R6CX37_9BACE,182.68,33,10,1,Carbamidomethylation,35437,Phosphate acetyltransferase OS=Bacteroides sp. CAG:530 GN=BN697_02373 PE=4 SV=1
1816,10795,tr|A5KIN3|A5KIN3_9FIRM,182.66,22,6,1,Carbamidomethylation; Oxidation (M),41171,ABC transporter  ATP-binding protein OS=Ruminococcus torques ATCC 27756 GN=RUMTOR_00078 PE=3 SV=1
1816,10796,tr|R5QV25|R5QV25_9FIRM,182.66,22,6,1,Carbamidomethylation; Oxidation (M),41171,Uncharacterized protein OS=Ruminococcus torques CAG:61 GN=BN734_01779 PE=3 SV=1
1816,10797,tr|A0A174AB21|A0A174AB21_9FIRM,182.66,22,6,1,Carbamidomethylation; Oxidation (M),41171,sn-glycerol-3-phosphate import ATP-binding protein UgpC OS=[Ruminococcus] torques GN=ugpC PE=3 SV=1
3508,8843,tr|R6QFC4|R6QFC4_9FIRM,182.33,26,7,1,Carbamidomethylation,39099,Electron transfer flavoprotein alpha subunit OS=Faecalibacterium sp. CAG:82 GN=BN792_01781 PE=4 SV=1
4603,5668,tr|B3JL55|B3JL55_9BACE,182.24,13,9,1,,99946,TonB-dependent receptor OS=Bacteroides coprocola DSM 17136 GN=BACCOP_02637 PE=4 SV=1
2420,8179,tr|R5Y8G4|R5Y8G4_9BACE,182.03,13,7,2,Carbamidomethylation,80554,Polyribonucleotide nucleotidyltransferase OS=Bacteroides sp. CAG:144 GN=pnp PE=3 SV=1
2435,6481,tr|R5PYT3|R5PYT3_9BACT,182.02,24,8,1,Carbamidomethylation,46802,Na(+)-translocating NADH-quinone reductase subunit F OS=Prevotella sp. CAG:487 GN=nqrF PE=3 SV=1
1786,14701,tr|R5AW97|R5AW97_9BACT,182.00,40,5,1,,15711,50S ribosomal protein L11 OS=Prevotella sp. CAG:1031 GN=rplK PE=3 SV=1
2537,6159,tr|E2NGI1|E2NGI1_9BACE,181.89,10,10,1,,117726,TonB-linked outer membrane protein  SusC/RagA family OS=Bacteroides cellulosilyticus DSM 14838 GN=BACCELL_03406 PE=4 SV=1
2537,6185,tr|R7E3V6|R7E3V6_9BACE,181.89,10,10,1,,117728,Uncharacterized protein OS=Bacteroides intestinalis CAG:315 GN=BN604_03437 PE=4 SV=1
1458,8125,tr|R7HSG8|R7HSG8_9BACT,181.84,15,8,1,Oxidation (M),66583,30S ribosomal protein S1 OS=Prevotella sp. CAG:279 GN=BN585_00859 PE=4 SV=1
2477,7243,tr|A0A078S9X5|A0A078S9X5_9PORP,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides distasonis str. 3999B T(B) 4 GN=pfp PE=3 SV=1
2477,7244,tr|A0A173S504|A0A173S504_9PORP,181.65,19,9,2,Carbamidomethylation,59834,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides distasonis GN=pfp PE=3 SV=1
2477,7245,tr|R6IJJ8|R6IJJ8_9PORP,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides sp. CAG:2 GN=pfp PE=3 SV=1
2477,7246,tr|C7XAI6|C7XAI6_9PORP,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides sp. D13 GN=pfp PE=3 SV=1
2477,7247,tr|A0A174X686|A0A174X686_9PORP,181.65,19,9,2,Carbamidomethylation,59806,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides distasonis GN=pfp PE=3 SV=1
2477,7248,tr|A6LC60|A6LC60_PARD8,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152) GN=pfp PE=3 SV=1
2477,7249,tr|D0TAW1|D0TAW1_9BACE,181.65,19,9,2,Carbamidomethylation,59834,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Bacteroides sp. 2_1_33B GN=pfp PE=3 SV=1
2477,7250,tr|K6A608|K6A608_9PORP,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides distasonis CL03T12C09 GN=pfp PE=3 SV=1
2477,7251,tr|K6AU89|K6AU89_9PORP,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides sp. D25 GN=pfp PE=3 SV=1
2477,7252,tr|E1YUM6|E1YUM6_9PORP,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides sp. 20_3 GN=pfp PE=3 SV=1
2477,7253,tr|A0A0J9DC24|A0A0J9DC24_9PORP,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides sp. D26 GN=pfp PE=3 SV=1
2477,7254,tr|D7IT07|D7IT07_9BACE,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Bacteroides sp. 3_1_19 GN=pfp PE=3 SV=1
2477,7255,tr|A0A174RP11|A0A174RP11_9PORP,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides distasonis GN=pfp PE=3 SV=1
2477,7256,tr|K5ZXN0|K5ZXN0_9PORP,181.65,19,9,2,Carbamidomethylation,59833,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides distasonis CL09T03C24 GN=pfp PE=3 SV=1
2477,7257,tr|A0A069SCF9|A0A069SCF9_9PORP,181.65,19,9,2,Carbamidomethylation,59782,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Parabacteroides distasonis str. 3776 Po2 i GN=pfp PE=3 SV=1
3703,8168,tr|R6DDL0|R6DDL0_9BACE,181.56,20,7,1,,50092,Uncharacterized protein OS=Bacteroides sp. CAG:530 GN=BN697_02305 PE=3 SV=1
3090,8379,tr|R6FL66|R6FL66_9BACE,181.47,23,7,1,Carbamidomethylation,37696,UDP-glucose 4-epimerase OS=Bacteroides sp. CAG:633 GN=BN744_01441 PE=4 SV=1
4861,7992,tr|R5CFZ4|R5CFZ4_9BACT,180.89,18,8,2,,77705,Triose-phosphate isomerase OS=Prevotella sp. CAG:1058 GN=BN458_00364 PE=3 SV=1
3027,3677,tr|R7CFN5|R7CFN5_9FIRM,180.89,22,11,2,Carbamidomethylation; Oxidation (M),67990,Carbon-monoxide dehydrogenase OS=Ruminococcus sp. CAG:9 GN=BN806_01426 PE=4 SV=1
3636,4486,tr|R6ZP80|R6ZP80_9BACE,180.78,14,11,6,Carbamidomethylation,119005,TonB-linked outer membrane protein SusC/RagA family OS=Bacteroides sp. CAG:714 GN=BN762_00242 PE=3 SV=1
4015,9061,tr|R5CC35|R5CC35_9BACE,180.41,31,6,1,Carbamidomethylation,29970,Glucosamine-6-phosphate deaminase OS=Bacteroides sp. CAG:598 GN=nagB PE=3 SV=1
2994,5393,tr|R5TSR4|R5TSR4_9BACE,180.37,28,11,2,Carbamidomethylation,43804,Acetate kinase OS=Bacteroides sp. CAG:702 GN=ackA PE=3 SV=1
4002,4272,tr|A0A173RL90|A0A173RL90_9FIRM,180.08,17,11,2,Carbamidomethylation,90296,Alpha-1 4 glucan phosphorylase OS=Faecalibacterium prausnitzii GN=malP_1 PE=3 SV=1
4002,4273,tr|D4KBY0|D4KBY0_9FIRM,180.08,17,11,2,Carbamidomethylation,90296,Alpha-1 4 glucan phosphorylase OS=Faecalibacterium prausnitzii SL3/3 GN=FPR_21480 PE=3 SV=1
3583,8273,tr|R6C4Q2|R6C4Q2_9BACE,179.81,18,7,1,Carbamidomethylation,49106,Aspartokinase OS=Bacteroides coprocola CAG:162 GN=BN509_02294 PE=3 SV=1
3583,8274,tr|B3JMK1|B3JMK1_9BACE,179.81,18,7,1,Carbamidomethylation,49092,Aspartokinase OS=Bacteroides coprocola DSM 17136 GN=BACCOP_03155 PE=3 SV=1
3583,8275,tr|R6N4M4|R6N4M4_9BACE,179.81,18,7,1,Carbamidomethylation,49173,Aspartokinase OS=Bacteroides sp. CAG:443 GN=BN659_01439 PE=3 SV=1
3583,8276,tr|R5MQ87|R5MQ87_9BACE,179.81,18,7,1,Carbamidomethylation,49288,Aspartokinase OS=Bacteroides sp. CAG:1076 GN=BN461_02218 PE=3 SV=1
2598,17430,tr|D5EYJ7|D5EYJ7_PRER2,179.64,24,4,1,Carbamidomethylation; Oxidation (M),25135,Uncharacterized protein OS=Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23) GN=PRU_0686 PE=4 SV=1
1771,12385,tr|C6JDT0|C6JDT0_9FIRM,179.62,19,5,1,Carbamidomethylation; Oxidation (M),41067,Uncharacterized protein OS=Ruminococcus sp. 5_1_39BFAA GN=RSAG_02097 PE=3 SV=1
1771,12950,tr|A0A174Y3C3|A0A174Y3C3_9FIRM,179.62,19,5,1,Carbamidomethylation; Oxidation (M),41208,sn-glycerol-3-phosphate import ATP-binding protein UgpC OS=[Ruminococcus] torques GN=ugpC_3 PE=3 SV=1
3630,6524,tr|R6S2K4|R6S2K4_9BACE,179.56,10,8,5,,117582,Uncharacterized protein OS=Bacteroides coprophilus CAG:333 GN=BN612_01607 PE=4 SV=1
4283,10422,tr|F0R612|F0R612_BACSH,179.30,20,6,1,Carbamidomethylation,42619,Phosphoribosylformylglycinamidine cyclo-ligase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_3393 PE=4 SV=1
2455,4212,tr|D4M342|D4M342_9FIRM,179.21,16,14,3,Carbamidomethylation,96213,Aldehyde-alcohol dehydrogenase OS=Ruminococcus torques L2-14 GN=RTO_09610 PE=3 SV=1
2455,4213,tr|A0A174YBZ7|A0A174YBZ7_9FIRM,179.21,16,14,3,Carbamidomethylation,96255,Aldehyde-alcohol dehydrogenase OS=[Ruminococcus] torques GN=adhE_3 PE=3 SV=1
2455,4214,tr|A0A173S2M7|A0A173S2M7_9FIRM,179.21,16,14,3,Carbamidomethylation,96269,Aldehyde-alcohol dehydrogenase OS=[Ruminococcus] torques GN=adhE_1 PE=3 SV=1
2455,4216,tr|R6NYR5|R6NYR5_9FIRM,179.21,16,14,3,Carbamidomethylation,96257,Aldehyde-alcohol dehydrogenase OS=Ruminococcus sp. CAG:55 GN=BN703_01625 PE=3 SV=1
2455,4217,tr|A0A174YGC1|A0A174YGC1_9FIRM,179.21,16,14,3,Carbamidomethylation,96257,Aldehyde-alcohol dehydrogenase OS=[Ruminococcus] torques GN=adhE_2 PE=3 SV=1
4299,10113,tr|R7JJL5|R7JJL5_9PORP,179.20,22,6,6,,34990,Putative Tat (Twin-arginine translocation) pathway signal sequence OS=Parabacteroides sp. CAG:409 GN=BN646_02539 PE=4 SV=1
3039,8577,tr|R7JBI7|R7JBI7_9PORP,179.18,24,8,4,Carbamidomethylation,43203,Outer membrane protein OmpA OS=Parabacteroides sp. CAG:409 GN=BN646_01511 PE=4 SV=1
2479,10336,tr|R6W2G1|R6W2G1_9BACT,179.16,23,7,1,,37054,Fructose-1 6-bisphosphate aldolase class II OS=Prevotella sp. CAG:474 GN=BN673_02234 PE=3 SV=1
2479,10337,tr|R5ZXX5|R5ZXX5_9BACT,179.16,23,7,1,,36878,Fructose-1 6-bisphosphate aldolase class II OS=Prevotella sp. CAG:5226 GN=BN693_01755 PE=3 SV=1
4339,8500,tr|R6YFY8|R6YFY8_9BACE,179.05,38,8,3,,32374,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_00546 PE=4 SV=1
3162,8760,tr|A8SFN8|A8SFN8_9FIRM,178.75,20,7,1,Carbamidomethylation; Oxidation (M),42461,Acyl-CoA dehydrogenase  C-terminal domain protein OS=Faecalibacterium prausnitzii M21/2 GN=FAEPRAM212_02805 PE=3 SV=1
3162,8761,tr|A0A173R2P6|A0A173R2P6_9FIRM,178.75,20,7,1,Carbamidomethylation; Oxidation (M),42461,Acyl-CoA dehydrogenase  short-chain specific OS=Faecalibacterium prausnitzii GN=ERS852582_00223 PE=3 SV=1
3162,8762,tr|D4K638|D4K638_9FIRM,178.75,20,7,1,Carbamidomethylation; Oxidation (M),42461,Butyryl-CoA dehydrogenase OS=Faecalibacterium prausnitzii SL3/3 GN=FPR_29610 PE=3 SV=1
2626,5312,tr|R6Y886|R6Y886_9BACE,178.46,26,9,5,Carbamidomethylation,44106,Acetate kinase OS=Bacteroides sp. CAG:714 GN=ackA PE=3 SV=1
3320,9942,tr|R6R5J0|R6R5J0_9FIRM,178.34,40,7,1,Carbamidomethylation,27693,Enoyl-CoA hydratase/carnithine racemase OS=Faecalibacterium sp. CAG:82 GN=BN792_01777 PE=3 SV=1
3380,6181,tr|A0A173ZLH7|A0A173ZLH7_9FIRM,178.31,19,10,1,,80119,85 kDa vitronectin-binding protein OS=Faecalibacterium prausnitzii GN=fusA_3 PE=4 SV=1
4190,8009,tr|R6ZQ82|R6ZQ82_9BACE,178.30,15,8,1,Carbamidomethylation,82502,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_00390 PE=3 SV=1
4494,12088,tr|A0A069S3G1|A0A069S3G1_9PORP,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Parabacteroides distasonis str. 3776 Po2 i GN=mdh PE=3 SV=1
4494,12089,sp|A6L903|MDH_PARD8,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152) GN=mdh PE=3 SV=1
4494,12090,tr|C7X976|C7X976_9PORP,178.27,33,6,1,Carbamidomethylation,32876,Malate dehydrogenase OS=Parabacteroides sp. D13 GN=mdh PE=3 SV=1
4494,12091,tr|K6BFU2|K6BFU2_9PORP,178.27,33,6,1,Carbamidomethylation,32882,Malate dehydrogenase OS=Parabacteroides sp. D25 GN=mdh PE=3 SV=1
4494,12092,tr|E1YYF2|E1YYF2_9PORP,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Parabacteroides sp. 20_3 GN=mdh PE=3 SV=1
4494,12093,tr|A0A0J9DGD5|A0A0J9DGD5_9PORP,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Parabacteroides sp. D26 GN=mdh PE=3 SV=1
4494,12094,tr|A0A173VC36|A0A173VC36_9PORP,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Parabacteroides distasonis GN=mdh_2 PE=3 SV=1
4494,12095,tr|D7IW30|D7IW30_9BACE,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Bacteroides sp. 3_1_19 GN=mdh PE=3 SV=1
4494,12096,tr|D0TA87|D0TA87_9BACE,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Bacteroides sp. 2_1_33B GN=mdh PE=3 SV=1
4494,12097,tr|A0A078THC9|A0A078THC9_9PORP,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Parabacteroides distasonis str. 3999B T(B) 4 GN=mdh PE=3 SV=1
4494,12098,tr|R6IE37|R6IE37_9PORP,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Parabacteroides sp. CAG:2 GN=mdh PE=3 SV=1
4494,12099,tr|K6B801|K6B801_9PORP,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Parabacteroides distasonis CL03T12C09 GN=mdh PE=3 SV=1
4494,12100,tr|K5ZLP0|K5ZLP0_9PORP,178.27,33,6,1,Carbamidomethylation,32848,Malate dehydrogenase OS=Parabacteroides distasonis CL09T03C24 GN=mdh PE=3 SV=1
2972,4660,tr|A0A0X8JHU2|A0A0X8JHU2_9DELT,178.26,20,10,1,Carbamidomethylation,76278,Elongation factor G OS=Desulfovibrio fairfieldensis GN=fusA PE=3 SV=1
2972,4661,tr|G1UTV4|G1UTV4_9DELT,178.26,20,10,1,Carbamidomethylation,76276,Elongation factor G OS=Desulfovibrio sp. 6_1_46AFAA GN=fusA PE=3 SV=1
4976,10194,tr|R6HCC8|R6HCC8_9FIRM,178.21,10,6,6,Carbamidomethylation,97515,Potassium/sodium efflux P-type ATPase fungal-type OS=Phascolarctobacterium sp. CAG:266 GN=BN574_00596 PE=4 SV=1
3255,5765,tr|F0R0X0|F0R0X0_BACSH,178.14,37,10,1,Carbamidomethylation,38090,UDP-glucose 4-epimerase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_2810 PE=4 SV=1
2881,6517,tr|E4VZL9|E4VZL9_BACFG,178.08,15,9,1,Carbamidomethylation,84165,Malate dehydrogenase (Oxaloacetate-decarboxylating) (NADP(+)) OS=Bacteroides fragilis 3_1_12 GN=BFAG_03678 PE=4 SV=1
2903,12082,tr|R5VU82|R5VU82_9BACE,177.83,51,7,1,Carbamidomethylation,18122,50S ribosomal protein L17 OS=Bacteroides plebeius CAG:211 GN=rplQ PE=3 SV=1
2214,8622,tr|A0A173WE25|A0A173WE25_9FIRM,177.72,34,8,4,,26804,30S ribosomal protein S2 OS=Faecalibacterium prausnitzii GN=rpsB PE=3 SV=1
2214,8623,tr|D4K412|D4K412_9FIRM,177.72,33,8,4,,26916,30S ribosomal protein S2 OS=Faecalibacterium prausnitzii L2-6 GN=rpsB PE=3 SV=1
2214,8624,tr|E2ZH97|E2ZH97_9FIRM,177.72,33,8,4,,26931,30S ribosomal protein S2 OS=Faecalibacterium cf. prausnitzii KLE1255 GN=rpsB PE=3 SV=1
2214,8653,tr|C7H5S5|C7H5S5_9FIRM,177.72,31,8,4,,28871,30S ribosomal protein S2 OS=Faecalibacterium prausnitzii A2-165 GN=rpsB PE=3 SV=1
2710,11237,tr|R7JLB4|R7JLB4_9PORP,177.66,37,8,3,,20199,50S ribosomal protein L6 OS=Parabacteroides sp. CAG:409 GN=rplF PE=3 SV=1
3171,10347,tr|R6CS97|R6CS97_9BACE,177.61,16,7,1,,56752,Uncharacterized protein OS=Bacteroides sp. CAG:530 GN=BN697_02152 PE=4 SV=1
4188,4341,tr|R6ZR60|R6ZR60_9BACE,177.51,20,11,10,,79240,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_00673 PE=4 SV=1
3331,17517,tr|R6WHV9|R6WHV9_9FIRM,177.29,11,5,1,Carbamidomethylation,55434,Succinate CoA transferase OS=Phascolarctobacterium succinatutens CAG:287 GN=BN587_00084 PE=4 SV=1
2830,6910,tr|D7NF10|D7NF10_9BACT,177.27,16,10,1,Oxidation (M),84962,Formate acetyltransferase OS=Prevotella oris C735 GN=HMPREF0665_02142 PE=4 SV=1
2446,12948,tr|F0R192|F0R192_BACSH,177.23,33,5,2,Carbamidomethylation,28978,MotA/TolQ/ExbB proton channel OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_1761 PE=3 SV=1
4877,12642,tr|A7AYI9|A7AYI9_RUMGN,177.20,6,6,4,Carbamidomethylation,138171,Phosphoribosylformylglycinamidine synthase OS=Ruminococcus gnavus ATCC 29149 GN=RUMGNA_00354 PE=4 SV=1
4877,12643,tr|R5UBR0|R5UBR0_9FIRM,177.20,6,6,4,Carbamidomethylation,138111,Phosphoribosylformylglycinamidine synthase OS=Ruminococcus gnavus CAG:126 GN=BN481_01374 PE=4 SV=1
4877,12644,tr|A0A173X5X6|A0A173X5X6_RUMGN,177.20,6,6,4,Carbamidomethylation,138171,Phosphoribosylformylglycinamidine synthase OS=Ruminococcus gnavus GN=purL PE=4 SV=1
3383,11108,tr|A0A101K7B6|A0A101K7B6_FUSNC,177.00,17,6,1,Carbamidomethylation,46595,Enolase OS=Fusobacterium nucleatum subsp. nucleatum GN=eno PE=3 SV=1
3383,11109,tr|D5RFQ3|D5RFQ3_FUSN2,177.00,17,6,1,Carbamidomethylation,46595,Enolase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 23726 / VPI 4351) GN=eno PE=3 SV=1
3307,12603,tr|R5AZT6|R5AZT6_9BACE,176.83,15,6,1,Carbamidomethylation,58975,Phosphoenolpyruvate carboxykinase [ATP] OS=Bacteroides sp. CAG:927 GN=pckA PE=3 SV=1
4486,5479,tr|R6MEB8|R6MEB8_9FIRM,176.50,24,9,9,Carbamidomethylation,51477,Pyruvate kinase OS=Megamonas funiformis CAG:377 GN=BN632_00946 PE=3 SV=1
