Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,A1 Area,A2 Area,A3 Area,1 Area,B1 Area,B2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
6581,27921,tr|S0FE77|S0FE77_9BACE,2.68,3,1,1,Carbamidomethylation,0,3.6E5,0,1.28E6,0,1.18E6,0:1.00:0:3.57:0:3.27,1.2E5,8.2E5,1.00:6.83,58423,SusD family protein OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=BACCOPRO_02683 PE=4 SV=1
5847,18509,tr|R6ZZD9|R6ZZD9_9BACE,2.68,4,3,1,,0,0,3.98E6,0,0,6.12E5,0:0:1.00:0:0:0.15,1.33E6,2.04E5,1.00:0.15,96451,Uncharacterized protein OS=Bacteroides sp. CAG:875 GN=BN800_01518 PE=4 SV=1
3700,15600,tr|R5QBU5|R5QBU5_9FIRM,2.68,12,3,1,,8.8E5,0,0,0,0,0,1.00:0:0:0:0:0,2.93E5,0,1.00:0,34564,Fructose-1 6-bisphosphate aldolase class II OS=Ruminococcus sp. CAG:724 GN=BN766_00745 PE=3 SV=1
1653,11565,tr|D3IMB3|D3IMB3_9BACT,2.68,33,9,1,Oxidation (M),0,0,0,1.15E5,8.21E5,0,0:0:0:1.00:7.12:0,0,3.12E5,0:1.00,36848,Fructose-1 6-bisphosphate aldolase  class II OS=Prevotella sp. oral taxon 317 str. F0108 GN=fba PE=3 SV=1
5381,9422,tr|F0R6H5|F0R6H5_BACSH,2.67,14,5,1,,0,0,0,1.3E5,4.32E5,1.84E5,0:0:0:1.00:3.33:1.42,0,2.48E5,0:1.00,48558,Tyrosine--tRNA ligase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=tyrS PE=3 SV=1
1074,2106,tr|I8VPS5|I8VPS5_9BACE,2.67,43,17,1,Oxidation (M),0,0,0,7.9E5,0,0,0:0:0:1.00:0:0,0,2.63E5,0:1.00,48492,Glutamate dehydrogenase OS=Bacteroides dorei CL02T12C06 GN=HMPREF1064_04460 PE=3 SV=1
6535,28955,tr|R6C2H7|R6C2H7_9BACT,2.67,2,2,1,,0,0,8.86E5,0,0,0,0:0:1.00:0:0:0,2.95E5,0,1.00:0,118080,SusC/RagA family TonB-linked outer membrane protein OS=Prevotella copri CAG:164 GN=BN510_01122 PE=3 SV=1
5915,22251,tr|R6YZR8|R6YZR8_9BACE,2.66,2,1,1,,0,0,0,4.18E5,0,4.25E5,0:0:0:1.00:0:1.02,0,2.81E5,0:1.00,70996,Membrane protein insertase YidC OS=Bacteroides sp. CAG:714 GN=yidC PE=3 SV=1
4601,19255,tr|R9I030|R9I030_BACUN,2.66,12,3,1,,0,0,0,0,7.38E5,0,0:0:0:0:1.00:0,0,2.46E5,0:1.00,30304,Protein TonB OS=Bacteroides uniformis dnLKV2 GN=C801_03627 PE=3 SV=1
5681,18972,tr|R5KVD0|R5KVD0_9BACT,2.66,17,3,1,Carbamidomethylation,0,0,8.43E5,0,0,0,0:0:1.00:0:0:0,2.81E5,0,1.00:0,24293,Uncharacterized protein OS=Prevotella sp. CAG:1124 GN=BN467_01710 PE=3 SV=1
2590,4345,tr|A0A0P0GJM2|A0A0P0GJM2_9BACE,2.66,25,11,1,Carbamidomethylation,0,0,0,0,3.56E5,3.27E5,0:0:0:0:1.00:0.92,0,2.28E5,0:1.00,59978,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Bacteroides cellulosilyticus GN=pfp PE=3 SV=1
3844,8571,tr|F3PI58|F3PI58_9BACE,2.66,29,8,1,Carbamidomethylation,0,0,0,0,6.58E5,1.7E5,0:0:0:0:1.00:0.26,0,2.76E5,0:1.00,35618,Phosphate acetyltransferase OS=Bacteroides clarus YIT 12056 GN=HMPREF9445_01698 PE=4 SV=1
3478,5930,tr|R5U6G7|R5U6G7_9BACE,2.66,19,8,1,Carbamidomethylation,0,8.26E5,0,0,0,0,0:1.00:0:0:0:0,2.75E5,0,1.00:0,54568,2-isopropylmalate synthase OS=Bacteroides sp. CAG:702 GN=leuA PE=3 SV=1
6145,19788,tr|R7MR86|R7MR86_9FIRM,2.65,4,2,1,,0,0,8.27E5,0,0,0,0:0:1.00:0:0:0,2.76E5,0,1.00:0,77047,Polyribonucleotide nucleotidyltransferase OS=Ruminococcus sp. CAG:624 GN=pnp PE=3 SV=1
3792,9554,tr|R6ZW95|R6ZW95_9BACE,2.65,18,7,1,,0,0,0,4.26E5,2.45E5,6.32E4,0:0:0:1.00:0.58:0.15,0,2.45E5,0:1.00,49982,Glucose-6-phosphate isomerase OS=Bacteroides sp. CAG:875 GN=pgi PE=3 SV=1
3343,14586,tr|R6HC81|R6HC81_9FIRM,2.65,29,6,1,Carbamidomethylation,0,0,0,0,3.84E5,3.54E5,0:0:0:0:1.00:0.92,0,2.46E5,0:1.00,27854,30S ribosomal protein S2 OS=Phascolarctobacterium sp. CAG:266 GN=rpsB PE=3 SV=1
1989,2493,tr|C3WEY3|C3WEY3_FUSMR,2.65,41,13,3,,3.07E5,1.1E6,1.73E6,1.37E6,2.67E6,2.04E6,0.28:1.00:1.58:1.25:2.43:1.86,1.14E6,2.03E6,1.00:1.78,50687,ATP synthase subunit beta OS=Fusobacterium mortiferum ATCC 9817 GN=atpD PE=3 SV=1
6113,23035,tr|R7JNV6|R7JNV6_9PORP,2.65,13,2,2,,1.14E6,1.22E6,1.05E5,3.14E6,2.31E6,2.24E6,0.93:1.00:0.09:2.57:1.89:1.84,9.66E5,2.63E6,1.00:2.72,22843,Uncharacterized protein OS=Parabacteroides sp. CAG:409 GN=BN646_00340 PE=4 SV=1
311,7090,tr|A0A0S8HJT7|A0A0S8HJT7_9BACE,2.64,30,12,2,Carbamidomethylation; Oxidation (M),1.3E6,1.36E6,1.33E6,3.55E6,1.42E6,1.92E6,0.95:1.00:0.97:2.60:1.04:1.40,1.33E6,2.29E6,1.00:1.72,43505,Elongation factor Tu OS=Bacteroides sp. SM23_62_1 GN=tuf PE=3 SV=1
5273,10662,tr|V8C209|V8C209_RUMGN,2.64,17,7,1,,0,0,0,1.86E5,0,5.71E5,0:0:0:1.00:0:3.07,0,2.52E5,0:1.00,57704,60 kDa chaperonin OS=Ruminococcus gnavus CC55_001C GN=groL PE=3 SV=1
6440,23081,tr|A0A078S223|A0A078S223_BACUN,2.64,1,1,1,,0,0,0,0,0,6.91E5,0:0:0:0:0:1.00,0,2.3E5,0:1.00,115015,Uncharacterized protein OS=Bacteroides uniformis str. 3978 T3 ii GN=M094_0062 PE=4 SV=1
6448,19544,tr|B5CXW3|B5CXW3_BACPM,2.64,36,3,1,,0,0,0,7.37E5,0,0,0:0:0:1.00:0:0,0,2.46E5,0:1.00,10383,30S ribosomal protein S15 OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=rpsO PE=3 SV=1
660,726,tr|R5SEI9|R5SEI9_9BACE,2.64,66,25,2,Carbamidomethylation; Oxidation (M),2.06E6,5E6,5.07E6,7.56E6,8.78E6,4.41E6,0.41:1.00:1.01:1.51:1.75:0.88,4.29E6,6.84E6,1.00:1.59,49260,Glutamate dehydrogenase OS=Bacteroides sp. CAG:661 GN=BN750_01071 PE=3 SV=1
2414,4002,tr|R6D1U3|R6D1U3_9BACE,2.64,29,11,1,Carbamidomethylation,0,0,0,6.98E5,0,0,0:0:0:1.00:0:0,0,2.33E5,0:1.00,55882,Carboxyl transferase domain protein OS=Bacteroides coprocola CAG:162 GN=BN509_00354 PE=4 SV=1
4615,5668,tr|B3JL55|B3JL55_9BACE,2.63,13,9,1,,0,0,7.35E5,0,0,0,0:0:1.00:0:0:0,2.45E5,0,1.00:0,99946,TonB-dependent receptor OS=Bacteroides coprocola DSM 17136 GN=BACCOP_02637 PE=4 SV=1
6587,28160,tr|R5EN00|R5EN00_9BACE,2.63,7,1,1,,0,0,0,7.02E5,0,0,0:0:0:1.00:0:0,0,2.34E5,0:1.00,25982,NAD-dependent protein deacylase OS=Bacteroides sp. CAG:20 GN=cobB PE=3 SV=1
4223,20032,tr|R5FLX8|R5FLX8_9FIRM,2.63,3,1,1,,0,0,0,0,0,7.09E5,0:0:0:0:0:1.00,0,2.36E5,0:1.00,64303,Chaperone protein DnaK OS=Faecalibacterium sp. CAG:1138 GN=dnaK PE=2 SV=1
4177,13239,tr|A0A0F5IJZ5|A0A0F5IJZ5_9PORP,2.63,12,3,1,,1.89E5,4.62E5,7.07E5,0,1.88E5,0,0.41:1.00:1.53:0:0.41:0,4.53E5,6.27E4,1.00:0.14,46051,Enolase OS=Parabacteroides sp. HGS0025 GN=eno PE=3 SV=1
6385,23516,tr|D4K4U0|D4K4U0_9FIRM,2.62,6,1,1,,2.82E4,1.31E5,7.76E4,1.46E5,3.81E5,4.39E5,0.22:1.00:0.59:1.12:2.92:3.37,6.84E4,3.22E5,1.00:4.71,62585,Pyruvate kinase OS=Faecalibacterium prausnitzii L2-6 GN=FP2_09760 PE=3 SV=1
5067,16682,tr|R5VJ23|R5VJ23_9BACE,2.62,4,4,1,Carbamidomethylation,0,0,0,6.69E5,0,0,0:0:0:1.00:0:0,0,2.23E5,0:1.00,115504,TonB-linked outer membrane protein SusC/RagA family OS=Bacteroides plebeius CAG:211 GN=BN536_02595 PE=4 SV=1
5135,17434,tr|R5TZV6|R5TZV6_9BACE,2.62,24,4,1,Carbamidomethylation,0,0,5.94E5,0,0,0,0:0:1.00:0:0:0,1.98E5,0,1.00:0,36259,Uncharacterized protein OS=Bacteroides sp. CAG:702 GN=BN759_00721 PE=4 SV=1
2904,3274,tr|R6CU99|R6CU99_9BACE,2.61,43,12,1,Carbamidomethylation; Oxidation (M),0,0,0,6.35E5,0,0,0:0:0:1.00:0:0,0,2.12E5,0:1.00,43446,Aminotransferase OS=Bacteroides sp. CAG:530 GN=BN697_01682 PE=3 SV=1
2520,8521,tr|A0A139L2K5|A0A139L2K5_BACOV,2.61,30,8,1,Carbamidomethylation,0,0,0,1.66E5,2.65E5,-,0:0:0:1.00:1.60:-,0,2.16E5,0:1.00,33780,Uncharacterized protein OS=Bacteroides ovatus GN=HMPREF2532_03189 PE=4 SV=1
4663,8260,tr|S0FAK4|S0FAK4_9BACE,2.61,8,7,1,,0,0,0,6.53E5,0,0,0:0:0:1.00:0:0,0,2.18E5,0:1.00,111854,TonB-linked outer membrane protein  SusC/RagA family OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=BACCOPRO_01045 PE=3 SV=1
2493,8118,tr|D4K9Y0|D4K9Y0_9FIRM,2.61,19,8,1,Carbamidomethylation; Oxidation (M),0,6.62E5,0,0,0,0,0:1.00:0:0:0:0,2.21E5,0,1.00:0,53119,Glycogen synthase OS=Faecalibacterium prausnitzii SL3/3 GN=glgA PE=3 SV=1
589,2407,tr|D1W8C3|D1W8C3_9BACT,2.61,27,18,1,Carbamidomethylation; Oxidation (M),0,5.82E5,0,0,0,0,0:1.00:0:0:0:0,1.94E5,0,1.00:0,73725,Succinate dehydrogenase flavoprotein subunit OS=Prevotella buccalis ATCC 35310 GN=sdhA PE=4 SV=1
4526,13805,tr|R9HK08|R9HK08_BACVU,2.61,26,6,1,Carbamidomethylation,0,0,0,0,6.09E5,0,0:0:0:0:1.00:0,0,2.03E5,0:1.00,29020,Glucosamine-6-phosphate deaminase OS=Bacteroides vulgatus dnLKV7 GN=nagB PE=3 SV=1
2434,13985,tr|S0F928|S0F928_9BACE,2.60,39,6,1,Carbamidomethylation,0,0,0,5.82E5,0,0,0:0:0:1.00:0:0,0,1.94E5,0:1.00,17876,50S ribosomal protein L31 type B OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=rpmE PE=3 SV=1
4730,14246,tr|U6RTS7|U6RTS7_9BACE,2.60,9,4,2,,7.01E6,5.27E6,1.67E6,3.11E6,2.17E6,2.71E6,1.33:1.00:0.32:0.59:0.41:0.51,4.65E6,2.66E6,1.00:0.57,60342,NADH-quinone oxidoreductase subunit C/D OS=Bacteroides sp. HPS0048 GN=nuoC PE=3 SV=1
896,2507,tr|R7LDC1|R7LDC1_9BACT,2.60,15,14,1,Carbamidomethylation; Oxidation (M),0,0,0,0,6.05E5,0,0:0:0:0:1.00:0,0,2.02E5,0:1.00,130065,Pyruvate-flavodoxin oxidoreductase OS=Prevotella sp. CAG:891 GN=BN805_00802 PE=3 SV=1
4699,14190,tr|F0R141|F0R141_BACSH,2.59,16,5,3,Carbamidomethylation,2.66E6,3.25E6,3.59E6,3.07E6,6.44E6,5.77E6,0.82:1.00:1.10:0.94:1.98:1.77,3.17E6,5.09E6,1.00:1.61,40208,Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_0702 PE=4 SV=1
3344,17517,tr|R6WHV9|R6WHV9_9FIRM,2.59,15,6,1,Carbamidomethylation,0,0,2.91E5,0,1.11E6,8.6E5,0:0:1.00:0:3.82:2.95,9.71E4,6.58E5,1.00:6.77,55434,Succinate CoA transferase OS=Phascolarctobacterium succinatutens CAG:287 GN=BN587_00084 PE=4 SV=1
4712,9533,tr|K1JWL3|K1JWL3_9BURK,2.59,11,6,2,Carbamidomethylation,3.95E6,2.62E6,1.29E6,9.3E5,0,1.58E6,1.51:1.00:0.49:0.35:0:0.60,2.62E6,1E6,1.00:0.38,72858,Succinate dehydrogenase or fumarate reductase  flavoprotein subunit OS=Sutterella wadsworthensis 2_1_59BFAA GN=HMPREF9465_00300 PE=4 SV=1
4273,9007,tr|R6ZWL7|R6ZWL7_9BACE,2.59,13,7,1,,0,0,0,5.17E5,0,0,0:0:0:1.00:0:0,0,1.72E5,0:1.00,82425,Uncharacterized protein OS=Bacteroides sp. CAG:875 GN=BN800_00153 PE=3 SV=1
6580,26783,tr|B7B9G2|B7B9G2_9PORP,2.59,2,2,1,,0,0,0,0,0,5.76E5,0:0:0:0:0:1.00,0,1.92E5,0:1.00,117146,TonB-linked outer membrane protein  SusC/RagA family (Fragment) OS=Parabacteroides johnsonii DSM 18315 GN=PRABACTJOHN_01665 PE=3 SV=1
5974,14183,tr|D4VMA9|D4VMA9_9BACE,2.58,2,2,1,,0,5.61E5,0,0,0,0,0:1.00:0:0:0:0,1.87E5,0,1.00:0,114731,TonB-dependent receptor OS=Bacteroides xylanisolvens SD CC 1b GN=BN890_520 PE=3 SV=1
1853,14676,tr|L1M9E9|L1M9E9_9BACT,2.58,45,5,1,Carbamidomethylation; Oxidation (M),0,0,0,5.21E5,0,0,0:0:0:1.00:0:0,0,1.74E5,0:1.00,15521,50S ribosomal protein L11 OS=Prevotella sp. oral taxon 473 str. F0040 GN=rplK PE=3 SV=1
6379,27715,tr|K6AN42|K6AN42_9PORP,2.58,2,1,1,,3.35E6,3.54E6,3.52E5,4.32E5,1.84E5,6.86E5,0.95:1.00:0.10:0.12:0.05:0.19,2.42E6,4.34E5,1.00:0.18,69080,Uncharacterized protein OS=Parabacteroides distasonis CL03T12C09 GN=HMPREF1075_00343 PE=4 SV=1
2819,9716,tr|R6SH50|R6SH50_9BACE,2.57,36,8,2,,8.62E5,2.2E6,4.08E5,3.72E6,1.04E6,1.69E6,0.39:1.00:0.19:1.69:0.47:0.77,1.16E6,2.21E6,1.00:1.91,31580,Uncharacterized protein OS=Bacteroides coprophilus CAG:333 GN=BN612_01802 PE=4 SV=1
6035,25851,tr|R5YXX2|R5YXX2_9BACE,2.57,23,2,1,,0,0,0,4.96E5,0,0,0:0:0:1.00:0:0,0,1.65E5,0:1.00,13679,Methylmalonyl-CoA epimerase OS=Bacteroides sp. CAG:144 GN=BN496_00130 PE=4 SV=1
5102,16085,tr|B5D264|B5D264_BACPM,2.57,17,5,1,,3.53E5,0,0,2.32E6,0,0,1.00:0:0:6.55:0:0,1.18E5,7.72E5,1.00:6.55,34651,Sodium pump decarboxylase  gamma subunit OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=BACPLE_03067 PE=4 SV=1
3428,8694,tr|U2MYD8|U2MYD8_9BACT,2.57,37,7,1,,0,1.51E6,0,7.83E6,4.42E5,0,0:1.00:0:5.19:0.29:0,5.03E5,2.76E6,1.00:5.48,22795,30S ribosomal protein S4 OS=Prevotella pleuritidis F0068 GN=rpsD PE=3 SV=1
3752,9835,tr|R5V7C6|R5V7C6_9BACE,2.56,39,7,1,Carbamidomethylation,0,0,0,4.63E5,0,0,0:0:0:1.00:0:0,0,1.54E5,0:1.00,29011,Glucosamine-6-phosphate deaminase OS=Bacteroides plebeius CAG:211 GN=nagB PE=3 SV=1
5252,13426,tr|H3KAX2|H3KAX2_9FIRM,2.56,3,3,1,Carbamidomethylation,0,0,4.86E5,0,0,0,0:0:1.00:0:0:0,1.62E5,0,1.00:0,136785,Phosphoribosylformylglycinamidine synthase OS=Megamonas funiformis YIT 11815 GN=HMPREF9454_02395 PE=4 SV=1
78,44,tr|R5UE03|R5UE03_9BACE,2.56,57,47,9,Carbamidomethylation; Oxidation (M),3.09E6,6.46E6,6.91E6,5.58E6,1.01E7,9.98E6,0.48:1.00:1.07:0.86:1.57:1.54,5.49E6,8.93E6,1.00:1.63,100274,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:702 GN=BN759_01582 PE=4 SV=1
3170,3030,tr|S0FC13|S0FC13_9BACE,2.56,21,10,1,Carbamidomethylation,0,4.25E5,0,1.87E6,0,7.94E5,0:1.00:0:4.39:0:1.87,1.42E5,8.87E5,1.00:6.26,63961,Acyl-CoA dehydrogenase  C-terminal domain protein OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=BACCOPRO_03531 PE=3 SV=1
6570,25149,tr|U2MNX7|U2MNX7_9BACT,2.55,1,1,1,,0,0,0,0,4.63E5,0,0:0:0:0:1.00:0,0,1.54E5,0:1.00,112608,TonB-linked outer membrane protein  SusC/RagA family OS=Prevotella pleuritidis F0068 GN=HMPREF1218_0900 PE=4 SV=1
2610,17430,tr|D5EYJ7|D5EYJ7_PRER2,2.55,24,5,1,Carbamidomethylation; Oxidation (M),7.4E6,1.23E7,1.43E7,1.12E7,3.48E7,2.8E7,0.60:1.00:1.16:0.91:2.82:2.27,1.13E7,2.47E7,1.00:2.17,25135,Uncharacterized protein OS=Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23) GN=PRU_0686 PE=4 SV=1
3961,9555,tr|R6ZNQ1|R6ZNQ1_9BACE,2.54,22,7,1,,0,0,0,4.37E5,0,0,0:0:0:1.00:0:0,0,1.46E5,0:1.00,49852,Glucose-6-phosphate isomerase OS=Bacteroides sp. CAG:714 GN=pgi PE=3 SV=1
1048,3693,tr|U2KLW6|U2KLW6_9BACT,2.54,29,12,1,Carbamidomethylation,0,0,0,4E5,0,0,0:0:0:1.00:0:0,0,1.33E5,0:1.00,60277,Phosphoenolpyruvate carboxykinase [ATP] OS=Prevotella sp. F0091 GN=pckA PE=3 SV=1
5022,14865,tr|R5V9G6|R5V9G6_9BACE,2.54,34,4,1,,0,0,0,3.91E5,0,0,0:0:0:1.00:0:0,0,1.3E5,0:1.00,17985,Uncharacterized protein OS=Bacteroides plebeius CAG:211 GN=BN536_02011 PE=3 SV=1
679,63,tr|R6CX13|R6CX13_9BACE,2.54,47,22,1,Carbamidomethylation; Oxidation (M),0,5.19E5,0,2.22E6,0,9.59E5,0:1.00:0:4.29:0:1.85,1.73E5,1.06E6,1.00:6.14,58063,60 kDa chaperonin OS=Bacteroides sp. CAG:530 GN=groL PE=3 SV=1
3993,9769,tr|R6WHG9|R6WHG9_9FIRM,2.53,4,6,1,,0,0,4.05E5,0,0,0,0:0:1.00:0:0:0,1.35E5,0,1.00:0,133175,DNA-directed RNA polymerase subunit beta' OS=Ruminococcus sp. CAG:382 GN=rpoC PE=3 SV=1
1898,11980,tr|R6E7M3|R6E7M3_9BACE,2.53,33,5,3,Carbamidomethylation,9.99E6,8.38E6,1.96E6,9.18E6,1.14E7,1.24E7,1.19:1.00:0.23:1.10:1.36:1.48,6.37E6,1.1E7,1.00:1.72,24780,Uncharacterized protein OS=Bacteroides sp. CAG:709 GN=BN760_01149 PE=4 SV=1
4287,7142,tr|B5CU53|B5CU53_BACPM,2.53,13,8,2,Carbamidomethylation,7.57E5,0,0,2.66E6,0,0,1.00:0:0:3.51:0:0,2.52E5,8.87E5,1.00:3.51,86846,Glycosyl hydrolase family 20  catalytic domain protein OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=BACPLE_00243 PE=4 SV=1
6248,18477,tr|R6YNB5|R6YNB5_9BACE,2.53,4,3,1,,0,0,0,0,3.87E5,0,0:0:0:0:1.00:0,0,1.29E5,0:1.00,116274,Putative outer membrane protein probably involved in nutrient binding OS=Bacteroides sp. CAG:714 GN=BN762_00025 PE=3 SV=1
149,242,tr|E2ZG97|E2ZG97_9FIRM,2.53,33,34,1,Carbamidomethylation,8.74E5,9.78E5,1.14E7,1.1E6,1.1E7,9.1E6,0.89:1.00:11.67:1.12:11.27:9.30,4.42E6,7.07E6,1.00:1.60,128332,Pyruvate-flavodoxin oxidoreductase OS=Faecalibacterium cf. prausnitzii KLE1255 GN=nifJ PE=3 SV=1
5978,19226,tr|R5UDL0|R5UDL0_9BACE,2.53,4,3,1,,0,0,0,4.09E5,0,0,0:0:0:1.00:0:0,0,1.36E5,0:1.00,110976,TonB-linked outer membrane protein SusC/RagA family OS=Bacteroides sp. CAG:702 GN=BN759_01472 PE=4 SV=1
6112,22538,tr|D3I225|D3I225_9BACT,2.52,3,1,1,,7.35E4,3.33E5,0,4.62E5,4.73E5,6.48E5,0.22:1.00:0:1.39:1.42:1.95,1.35E5,5.28E5,1.00:3.90,57186,Carbohydrate kinase  FGGY family protein OS=Prevotella buccae D17 GN=HMPREF0649_02557 PE=4 SV=1
6612,31184,tr|R5KCS2|R5KCS2_9BACT,2.52,1,1,1,,8.97E4,2.83E5,0,0,0,0,0.32:1.00:0:0:0:0,1.24E5,0,1.00:0,110463,Putative cell surface protein OS=Prevotella sp. CAG:1124 GN=BN467_01305 PE=4 SV=1
2484,2674,tr|F0R2I6|F0R2I6_BACSH,2.52,45,14,1,Carbamidomethylation,0,0,0,3.5E5,0,0,0:0:0:1.00:0:0,0,1.17E5,0:1.00,49167,Xylose isomerase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=xylA PE=3 SV=1
2045,3979,tr|D4K4V6|D4K4V6_9FIRM,2.52,26,11,1,Carbamidomethylation,2.27E5,1.34E5,1.9E6,9.89E5,2.22E6,1.26E6,1.69:1.00:14.16:7.37:16.52:9.38,7.54E5,1.49E6,1.00:1.97,62028,Phosphomannomutase OS=Faecalibacterium prausnitzii L2-6 GN=FP2_09940 PE=3 SV=1
3511,13638,tr|R6AFC4|R6AFC4_9BACE,2.51,21,3,1,,3.74E6,4.15E6,1.81E6,0,1.85E6,0,0.90:1.00:0.44:0:0.44:0,3.24E6,6.16E5,1.00:0.19,16236,50S ribosomal protein L9 OS=Bacteroides stercoris CAG:120 GN=rplI PE=3 SV=1
4297,10422,tr|F0R612|F0R612_BACSH,2.51,20,6,1,Carbamidomethylation,0,0,0,0,3.72E5,0,0:0:0:0:1.00:0,0,1.24E5,0:1.00,42619,Phosphoribosylformylglycinamidine cyclo-ligase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_3393 PE=4 SV=1
2429,3171,tr|E6SW59|E6SW59_BACT6,2.50,13,12,1,Carbamidomethylation,2.96E5,0,0,3.53E4,0,0,1.00:0:0:0.12:0:0,9.86E4,1.18E4,1.00:0.12,126095,Protein translocase subunit SecA OS=Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108) GN=secA PE=3 SV=1
2817,9481,tr|R6LFV1|R6LFV1_9BACE,2.50,27,7,1,Carbamidomethylation,1.29E6,3.07E6,0,7.53E5,0,0,0.42:1.00:0:0.25:0:0,1.45E6,2.51E5,1.00:0.17,34506,Putative glucokinase OS=Bacteroides clarus CAG:160 GN=BN507_02397 PE=4 SV=1
5136,17682,tr|R6NJW4|R6NJW4_9BACE,2.49,17,5,1,Carbamidomethylation,0,1.25E6,0,1.3E6,1.65E6,1.36E6,0:1.00:0:1.04:1.32:1.09,4.16E5,1.44E6,1.00:3.46,42553,N-acetylglucosamine-6-phosphate deacetylase OS=Bacteroides sp. CAG:443 GN=BN659_02381 PE=3 SV=1
4742,14688,tr|R5TZV5|R5TZV5_9BACE,2.49,31,6,4,Carbamidomethylation,0,1.46E6,1.25E6,1.93E6,1.08E6,2.38E6,0:1.00:0.86:1.32:0.74:1.64,1.01E6,1.79E6,1.00:1.77,24660,Biopolymer transport protein ExbD/TolR OS=Bacteroides sp. CAG:702 GN=BN759_01146 PE=3 SV=1
2419,5548,tr|R6T476|R6T476_9BACE,2.49,41,10,1,,0,0,0,3.23E5,0,0,0:0:0:1.00:0:0,0,1.08E5,0:1.00,33528,Uncharacterized protein OS=Bacteroides coprophilus CAG:333 GN=BN612_01219 PE=4 SV=1
6487,28786,tr|R5FFG5|R5FFG5_9BACT,2.49,4,1,1,,1.5E6,2.03E6,1.83E6,0,9.73E5,0,0.74:1.00:0.90:0:0.48:0,1.79E6,3.24E5,1.00:0.18,36872,Peptidyl-prolyl cis-trans isomerase OS=Prevotella sp. CAG:924 GN=BN812_01892 PE=4 SV=1
2008,9043,tr|R6EFA6|R6EFA6_9BACT,2.48,11,6,1,,0,0,0,0,3.18E5,0,0:0:0:0:1.00:0,0,1.06E5,0:1.00,72272,Putative ribosomal protein S1 OS=Prevotella sp. CAG:1320 GN=BN487_01423 PE=4 SV=1
4446,4506,tr|R6YD85|R6YD85_9BACE,2.47,16,10,1,,0,0,2.83E5,0,0,0,0:0:1.00:0:0:0,9.44E4,0,1.00:0,99969,TonB-dependent receptor OS=Bacteroides sp. CAG:714 GN=BN762_00184 PE=4 SV=1
4187,22428,tr|R7H1A6|R7H1A6_9FIRM,2.47,9,3,1,,0,0,0,2.75E5,0,0,0:0:0:1.00:0:0,0,9.17E4,0:1.00,27303,Triosephosphate isomerase OS=Ruminococcus sp. CAG:403 GN=tpiA PE=3 SV=1
6577,24845,tr|G1VAT7|G1VAT7_9BACT,2.47,3,1,1,,0,2.02E5,0,5.27E5,8.03E5,0,0:1.00:0:2.61:3.97:0,6.74E4,4.44E5,1.00:6.58,53634,Uncharacterized protein OS=Prevotella sp. C561 GN=HMPREF0666_00520 PE=4 SV=1
6617,31418,tr|R5C546|R5C546_9BACE,2.46,13,1,1,,0,1.75E6,0,4.1E6,2.72E6,2.18E6,0:1.00:0:2.34:1.55:1.24,5.85E5,3E6,1.00:5.13,8296,ATP synthase subunit c OS=Bacteroides sp. CAG:598 GN=BN727_02436 PE=4 SV=1
3659,7377,tr|F3PJY0|F3PJY0_9BACE,2.46,23,9,1,Carbamidomethylation,0,0,6.66E4,4.27E5,0,5.45E4,0:0:1.00:6.42:0:0.82,2.22E4,1.61E5,1.00:7.24,53608,Glycosyl hydrolase  family 57 OS=Bacteroides clarus YIT 12056 GN=HMPREF9445_02459 PE=3 SV=1
5940,21639,tr|R5B780|R5B780_9BACE,2.46,4,2,1,Carbamidomethylation,0,0,2.62E5,0,0,0,0:0:1.00:0:0:0,8.72E4,0,1.00:0,36183,Uncharacterized protein OS=Bacteroides sp. CAG:927 GN=BN813_00789 PE=4 SV=1
2258,5160,tr|R5MJC5|R5MJC5_9BACE,2.46,14,9,1,,0,2.56E5,0,0,0,0,0:1.00:0:0:0:0,8.54E4,0,1.00:0,95917,DNA gyrase subunit A OS=Bacteroides sp. CAG:1076 GN=gyrA PE=3 SV=1
